Date,total,people,integrations
20160919 (Monday),47,40,7
20160920 (Tuesday),62,49,13
20160921 (Wednesday),68,53,15
20160922 (Thursday),183,170,13
20160923 (Friday),168,160,8
20160924 (Saturday),20,17,3
20160925 (Sunday),24,17,7
20160926 (Monday),117,104,13
20160927 (Tuesday),78,51,27
20160928 (Wednesday),66,38,28
20160929 (Thursday),162,152,10
20160930 (Friday),58,51,7
20161001 (Saturday),12,11,1
20161002 (Sunday),29,14,15
20161003 (Monday),95,88,7
20161004 (Tuesday),203,158,45
20161005 (Wednesday),158,142,16
20161006 (Thursday),184,167,17
20161007 (Friday),114,83,31
20161008 (Saturday),26,17,9
20161009 (Sunday),21,18,3
20161010 (Monday),15,13,2
20161011 (Tuesday),53,36,17
20161012 (Wednesday),143,124,19
20161013 (Thursday),149,132,17
20161014 (Friday),101,78,23
20161015 (Saturday),26,23,3
20161016 (Sunday),23,21,2
20161017 (Monday),109,97,12
20161018 (Tuesday),90,68,22
20161019 (Wednesday),181,156,25
20161020 (Thursday),96,76,20
20161021 (Friday),73,44,29
20161022 (Saturday),14,9,5
20161023 (Sunday),9,6,3
20161024 (Monday),107,73,34
20161025 (Tuesday),79,57,22
20161026 (Wednesday),228,205,23
20161027 (Thursday),116,97,19
20161028 (Friday),151,134,17
20161029 (Saturday),100,80,20
20161030 (Sunday),43,37,6
20161031 (Monday),63,43,20
20161101 (Tuesday),176,141,35
20161102 (Wednesday),159,130,29
20161103 (Thursday),179,131,48
20161104 (Friday),193,160,33
20161105 (Saturday),31,12,19
20161106 (Sunday),49,35,14
20161107 (Monday),145,96,49
20161108 (Tuesday),281,255,26
20161109 (Wednesday),279,236,43
20161110 (Thursday),179,159,20
20161111 (Friday),85,74,11
20161112 (Saturday),14,10,4
20161113 (Sunday),40,28,12
20161114 (Monday),195,160,35
20161115 (Tuesday),152,115,37
20161116 (Wednesday),226,196,30
20161117 (Thursday),210,173,37
20161118 (Friday),124,103,21
20161119 (Saturday),51,40,11
20161120 (Sunday),20,17,3
20161121 (Monday),82,63,19
20161122 (Tuesday),308,257,51
20161123 (Wednesday),23,15,8
20161124 (Thursday),15,13,2
20161125 (Friday),76,62,14
20161126 (Saturday),53,23,30
20161127 (Sunday),55,38,17
20161128 (Monday),84,67,17
20161129 (Tuesday),151,121,30
20161130 (Wednesday),154,112,42
20161201 (Thursday),208,186,22
20161202 (Friday),143,128,15
20161203 (Saturday),45,2,43
20161204 (Sunday),57,38,19
20161205 (Monday),119,91,28
20161206 (Tuesday),239,190,49
20161207 (Wednesday),199,169,30
20161208 (Thursday),80,68,12
20161209 (Friday),,0,
20161210 (Saturday),,0,
20161211 (Sunday),,0,
20161212 (Monday),,0,
20161213 (Tuesday),,0,
20161214 (Wednesday),,0,
20161215 (Thursday),,0,
20161216 (Friday),,0,
20161217 (Saturday),,0,
20161218 (Sunday),,0,
20161219 (Monday),,0,
20161220 (Tuesday),,0,
20161221 (Wednesday),,0,
20161222 (Thursday),,0,
20161223 (Friday),,0,
20161224 (Saturday),,0,
20161225 (Sunday),,0,
20161226 (Monday),,0,
20161227 (Tuesday),,0,
20161228 (Wednesday),,0,
20161229 (Thursday),,0,
20161230 (Friday),,0,
20161231 (Saturday),,0,
